City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,aklavik,68.2191,-135.0107,-39.72,100,28,0.74,CA,1675645847
1,mar del plata,-38.0023,-57.5575,25.46,51,100,5.63,AR,1675646043
2,gap,44.6667,6.0,-4.54,72,100,1.96,FR,1675646192
3,sisimiut,66.9395,-53.6735,-18.39,93,100,2.53,GL,1675646193
4,mersing,2.4312,103.8405,22.95,94,40,3.09,MY,1675646193
5,vrede,-27.4257,29.1659,11.77,93,6,0.7,ZA,1675646194
6,kimparana,12.8347,-4.9244,24.79,14,3,3.94,ML,1675646194
7,ponta do sol,32.6667,-17.1,16.35,52,4,2.47,PT,1675646195
8,tiksi,71.6872,128.8694,-31.82,100,100,1.52,RU,1675646006
9,butaritari,3.0707,172.7902,26.91,83,100,7.6,KI,1675646195
10,atuona,-9.8,-139.0333,25.98,74,19,7.84,PF,1675646104
11,ixtapa,20.7,-105.2,23.57,83,0,2.06,MX,1675646174
12,alofi,-19.0595,-169.9187,23.94,94,100,8.75,NU,1675646196
13,okhotsk,59.3833,143.3,-24.41,77,100,5.37,RU,1675646131
14,cabiraoan,18.3238,122.086,25.48,77,99,1.9,PH,1675646197
15,manaure,11.7751,-72.4445,26.03,72,90,10.44,CO,1675646198
16,kaitangata,-46.2817,169.8464,18.62,60,59,6.94,NZ,1675646198
17,punta arenas,-53.15,-70.9167,10.06,71,75,9.77,CL,1675646199
18,hilo,19.7297,-155.09,25.71,88,75,2.68,US,1675645975
19,gat,31.61,34.7642,13.0,12,6,6.63,IL,1675646195
20,ushuaia,-54.8,-68.3,2.49,90,72,0.92,AR,1675646150
21,hithadhoo,-0.6,73.0833,27.18,70,97,4.68,MV,1675646200
22,rikitea,-23.1203,-134.9692,26.19,75,3,6.27,PF,1675646199
23,hermanus,-34.4187,19.2345,21.56,87,25,5.4,ZA,1675646132
24,narsaq,60.9167,-46.05,-9.88,74,74,5.77,GL,1675646201
25,puerto carreno,6.189,-67.4859,27.23,54,17,2.68,CO,1675646202
26,saskylakh,71.9167,114.0833,-41.73,100,94,1.72,RU,1675645982
27,inhambane,-23.865,35.3833,22.88,87,58,2.53,MZ,1675646203
28,bluff,-46.6,168.3333,15.18,80,99,10.84,NZ,1675646141
29,los llanos de aridane,28.6585,-17.9182,13.86,71,20,3.6,ES,1675646115
30,leningradskiy,69.3833,178.4167,-29.33,98,100,2.03,RU,1675646148
31,kurilsk,45.2333,147.8833,-4.17,68,99,4.14,RU,1675646204
32,port alfred,-33.5906,26.891,22.88,94,78,4.71,ZA,1675646031
